ARK;"Object name/Title";Author;Date;"Inventory number";Collection;"Geographic references / Places";Location;MNR
cl010123045;"Tablette : lettre du roi hittite au roi d'Ugarit";;"-1250 / -1220  (Bronze récent II)";"AO 21091; RS 20.252 A'; RS [Varia 21]";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit (?)";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 14 Relations internationales";
cl010144666;"Tablette : inventaire du tribut du roi d'Ugarit au roi hittite";;"-1400 / -1200  (Bronze récent II)";"AO 19956; RS 11732; RS 11.732 [B]";"Département des Antiquités orientales";"Place of discovery : Ras Shamra palais royal";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 14 Relations internationales";
cl010145732;tablette;;"-1400 / -1200  (Bronze récent II)";"AO 21087; RS [Varia 16]";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010139701;figurine;;"-1550 / -1150  (Bronze récent)";"AO 14842";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 11 La vie culturelle à Ugarit";
cl010139700;figurine;;;"AO 14841";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 11 La vie culturelle à Ugarit";
cl010143295;mortier;;;"AO 18514; RS 7.178";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 11 La vie culturelle à Ugarit";
cl010144030;"figurine ; élément";;"-1400 / -1200  (Bronze récent II)";"AO 19256";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 11 La vie culturelle à Ugarit";
cl010139697;figurine;;;"AO 14838; RS 3.32";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 11 La vie culturelle à Ugarit";
cl010142122;figurine;;;"AO 17369";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 11 La vie culturelle à Ugarit";
cl010142172;"figurine ; plaquette";;;"AO 17424; RS 6.413";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 11 La vie culturelle à Ugarit";
cl010143312;vase;;"-1400 / -1200  (Bronze récent II)";"AO 18535";"Département des Antiquités orientales";"Place of creation : Chypre / Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 11 La vie culturelle à Ugarit";
