name,lon,lat,language,script,area,uuid
RS [Varia 2],35.7818307,35.601629,unknown,unknown,unknown,f32d3fdc-c58b-44a1-aa73-1e39653c0382
RS [Varia 3],35.7818307,35.601629,Akkadian,Logosyllabic,unknown,168b5d71-dac7-40c4-80f7-ad89cdac7e48
RS [Varia 4],35.7818307,35.601629,Ugaritic,Alphabetic,unknown,f5cf4da5-6a9f-464a-88b0-75babecea8b0
RS [Varia 5],35.7818307,35.601629,Ugaritic,Alphabetic,unknown,e196b74e-d5de-4c79-b13f-ed8ef77728d9
RS [Varia 6],35.7818307,35.601629,unknown,unknown,unknown,6911ab65-078a-4c80-887c-90336cfc1134
RS [Varia 7],35.7818307,35.601629,Akkadian,Logosyllabic,unknown,4edbfdb9-0c16-4866-9fe1-c56ca006b7c4
RS [Varia 8],35.7818307,35.601629,Akkadian,Logosyllabic,unknown,61c67e53-fbd9-41be-812c-48f7d03e8c1d
RS [Varia 9],35.7818307,35.601629,Akkadian,Logosyllabic,unknown,d28cba49-ae57-4a5e-89c8-ecdd5c1a854c
RS [Varia 10],35.7818307,35.601629,Akkadian,Logosyllabic,unknown,827bb121-d061-4bab-91fd-2518dce2799e
RS [Varia 11],35.7818307,35.601629,Akkadian,Logosyllabic,unknown,7c905f74-a8c4-402c-bc70-17ecdf9f50b1
RS [Varia 12],35.7818307,35.601629,Akkadian,Logosyllabic,unknown,46626543-0988-4bd5-99bd-283c371fcb15
RS [Varia 13],35.7818307,35.601629,Ugaritic,Alphabetic,unknown,d73fcaec-7bb5-4210-98e7-30216cedc2be
RS [Varia 14],35.7818307,35.601629,Ugaritic,Alphabetic,unknown,357b7fc5-4543-4db8-934a-4f29c4c2bbb8
RS [Varia 15],35.7818307,35.601629,Akkadian,Logosyllabic,unknown,97a746f8-1ab1-45da-9572-99c2c7044820
RS [Varia 16],35.7818307,35.601629,Akkadian,Logosyllabic,unknown,048c9bfb-f18c-4c67-aa78-d600a1f636ca
RS [Varia 17],35.7818307,35.601629,Akkadian,Logosyllabic,unknown,887b93bf-8573-42a7-8608-5659d12c2c14
RS [Varia 18],35.7818307,35.601629,Ugaritic,Alphabetic,unknown,64fd4fbf-1cdf-4b4c-a656-51d68ea0a58a
RS [Varia 19],35.7818307,35.601629,Ugaritic,Alphabetic,unknown,55f3bbac-9d6c-44bb-9dc3-83feffc0c0a7
RS [Varia 20],35.7818307,35.601629,Ugaritic,Alphabetic,unknown,ffe6715c-1cb1-44e4-b350-87de5db4f1be
RS [Varia 21],35.7818307,35.601629,Akkadian,Logosyllabic,unknown,401b13d4-011b-461a-b592-1f06d666b7b2
RS [Varia 22],35.7818307,35.601629,Ugaritic,Alphabetic,unknown,689a2b05-a865-4406-80ec-b8478341914f
RS [Varia 23],35.7818307,35.601629,Ugaritic,Alphabetic,unknown,4fb8d018-ffa4-4f38-a55b-66d3155f0b67
RS [Varia 24],35.7818307,35.601629,unknown,unknown,unknown,5a59aecb-1507-4ee4-a7a5-381c95517bba
RS [Varia 25],35.7818307,35.601629,Akkadian,Logosyllabic,unknown,b0186fe4-431e-4338-af23-b986fb49265f
RS [Varia 26],35.7818307,35.601629,Akkadian,Logosyllabic,unknown,eb167008-360b-4985-9aef-0e2bc64ee26e
RS [Varia 27],35.7818307,35.601629,Akkadian,Logosyllabic,unknown,6d7254b4-e84f-4276-848a-8ccd076d06c3
RS [Varia 28],35.7818307,35.601629,Ugaritic,Alphabetic,unknown,0613480c-7d60-4263-ac8e-ae235777685f
RS [Varia 29],35.7818307,35.601629,Ugaritic,Alphabetic,unknown,57547525-864b-47f3-b6b1-cd52cd54fc83
RS [Varia 30],35.7818307,35.601629,Akkadian,Logosyllabic,unknown,e6c977ef-ceff-41b4-8e29-6c9ea58b6544
RS [Varia 31],35.7818307,35.601629,Ugaritic,Alphabetic,unknown,7eed84e1-240b-4e0c-86a1-f6a9d2a41f34
