isf_assigned_text_number	text_or_publication_number_note	text_descriptive_title	text_description	is_part_of_corpus1	category	location_of_original
ISF_TXT_01241	KTU 1.1; CTA 1; CAT 1.1; KTU2 1.1; CTU 1.1; RS 3.361	Baal Myth First Tablet	Declaration of Yam's royal status and his coronation, complaint of Baal	Ugaritic Texts	Literary and Religious Texts	Louvre Museum, Paris, France
ISF_TXT_01250	KTU 1.10; CTA 10; RS 3.362; RS 5.181; CAT 1.10; KTU2 1.10; CTU 1.10	Loves of Baal and Anat	Myth of Baal and Anat, Baal fathers a bull?	Ugaritic Texts	Literary and Religious Texts	Archaeological Museum, Aleppo, Syria
ISF_TXT_00286	KTU 1.100; CAT 1.100; KTU2 1.100; CTU 1.100, RS 24.244	Snake Bite Incantation		Ugaritic Texts	Literary and Religious Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06149	KTU 1.101, KTU2 1.101, KTU3 1.101, CTU 1.101, CAT 1.101	Hymn		Ugaritic Texts	Literary and Religious Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06150	KTU 1.102, KTU2 1.102, KTU3 1.102, CTU 1.102, CAT 1.102	List (gods), list (names)		Ugaritic Texts	Literary and Religious Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_05471	KTU 1.103; KTU 1.145; KTU2 1.103; KTU2 1.145; CTU 1.103; CAT 1.103; CAT 1.145 RS 24.247, 24.265, 24.268, 24.287, 24.328 A,B; DO 6589, 6657	Malformed Animal Fetuses	Omen (birth omens)	Ugaritic Texts	Literary and Religious Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_05472	KTU 1.104; KTU2 1.104; CTU 1.104; CAT 1.104; RS 24.248; DO 6590	Prayer? Consultation?	Uncertain ritual	Ugaritic Texts	Literary and Religious Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_05473	KTU 1.105; KTU2 1.105; CTU 1.105; CAT 1.105; RS 24.249; DO 6591	A list of sacrifices	Ritual, list (sacrifices), scribal exercise?	Ugaritic Texts	Literary and Religious Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_05474	KTU 1.106; KTU2 1.106; CTU 1.106; CAT 1.106; RS 24.250, 24.259; DO 6592	A list of sacrifices	List (sacrifices), ritual Shapash and the gods collect the venom which the goddess of the sun will use to disperse the clouds that cover the earth	Ugaritic Texts	Literary and Religious Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_05475	KTU 1.107; KTU2 1.107; CTU 1.107; CAT 1.107; RS 24.249, 24.251, 24.262, 24.265A, 24.267, 24.275; DO 6593	Shirugazuz Learns the Risk of Snake-Charming		Ugaritic Texts	Literary and Religious Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_01273	KTU 1.108; RS 24.252; CAT 1.108; KTU2 1.108; CTU 1.108	Hymn	Hymnic prayer accompanying libations	Ugaritic Texts	Literary and Religious Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_01274	KTU 1.109; CAT 1.109; KTU2 1.109; CTU 1.109; RS 24.253	List of Sacrifices	Portion of major festivals of a month (unnamed)	Ugaritic Texts	Literary and Religious Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_01251	KTU 1.11; CTA 11; CAT 1.11; KTU2 1.11; CTU 1.11; RS 3.319	Loves of Baal and Anat	Fragment referring to Baal, Anat, Katharat goddesses	Ugaritic Texts	Literary and Religious Texts	Archaeological Museum, Aleppo, Syria
